id_sample_to_clone,id_sample_to_compare,text
DC_a01,DC_a03,A boring novel is a superb sleeping pill.
DC_a02,DC_a07,Cory and Trish played tag with beach balls for hours.
DC_a03,DC_a03,A boring novel is a superb sleeping pill.
DC_a04,DC_a05,The same shelter could be built into an embankment or below ground level.
DC_a05,DC_a05,"If Carol comes tomorrow, have her arrange for a meeting at two."
DC_a06,DC_a12,The same shelter could be built into an embankment or below ground level.
DC_a07,DC_a07,Call an ambulance for medical assistance.
DC_a08,DC_a10,Special task forces rescue hostages from kidnappers.
DC_a09,DC_a14,The fish began to leap frantically on the surface of the small lake.
DC_a10,DC_a10,Special task forces rescue hostages from kidnappers.
DC_a11,DC_a11,The tooth fairy forgot to come when Roger's tooth fell out.
DC_a12,DC_a12,The tooth fairy forgot to come when Roger's tooth fell out.
DC_a13,DC_a14,She had your dark suit in greasy wash water all year.
DC_a14,DC_a14,"If Carol comes tomorrow, have her arrange for a meeting at two."
DC_a15,DC_a15,The tooth fairy forgot to come when Roger's tooth fell out.
DC_d01,DC_d12,The tooth fairy forgot to come when Roger's tooth fell out.
DC_d02,DC_d06,Cory and Trish played tag with beach balls for hours.
DC_d03,DC_d12,A boring novel is a superb sleeping pill.
DC_d04,DC_d04,Don't ask me to carry an oily rag like that.
DC_d05,DC_d05,Call an ambulance for medical assistance.
DC_d06,DC_d06,The same shelter could be built into an embankment or below ground level.
DC_d07,DC_d07,Jeff thought you argued in favor of a centrifuge purchase.
DC_d08,DC_d08,Was she just naturally sloppy about everything but her physical appearance?
DC_d09,DC_d09,Call an ambulance for medical assistance.
DC_d10,DC_d15,The easygoing zoologist relaxed throughout the voyage.
DC_d11,DC_d15,She had your dark suit in greasy wash water all year.
DC_d12,DC_d12,Each untimely income loss coincided with the breakdown of a heating system part.
DC_d13,DC_d15,We saw eight tiny icicles below our roof.
DC_d14,DC_d14,She had your dark suit in greasy wash water all year.
DC_d15,DC_d15,The tooth fairy forgot to come when Roger's tooth fell out.
DC_f01,DC_f06,Kindergarten children decorate their classrooms for all holidays.
DC_f02,DC_f02,Is a relaxed home atmosphere enough to help her outgrow these traits?
DC_f03,DC_f06,Don't ask me to carry an oily rag like that.
DC_f04,DC_f04,The tooth fairy forgot to come when Roger's tooth fell out.
DC_f05,DC_f05,A boring novel is a superb sleeping pill.
DC_f06,DC_f06,Cory and Trish played tag with beach balls for hours.
DC_f07,DC_f07,She had your dark suit in greasy wash water all year.
DC_f08,DC_f08,The tooth fairy forgot to come when Roger's tooth fell out.
DC_f09,DC_f09,The easygoing zoologist relaxed throughout the voyage.
DC_f10,DC_f10,She had your dark suit in greasy wash water all year.
DC_f11,DC_f15,She had your dark suit in greasy wash water all year.
DC_f12,DC_f15,Kindergarten children decorate their classrooms for all holidays.
DC_f13,DC_f13,Each untimely income loss coincided with the breakdown of a heating system part.
DC_f14,DC_f14,"If Carol comes tomorrow, have her arrange for a meeting at two."
DC_f15,DC_f15,A boring novel is a superb sleeping pill.
DC_h01,DC_h03,Don't ask me to carry an oily rag like that.
DC_h02,DC_h02,The fish began to leap frantically on the surface of the small lake.
DC_h03,DC_h03,Don't ask me to carry an oily rag like that.
DC_h04,DC_h09,Jeff thought you argued in favor of a centrifuge purchase.
DC_h05,DC_h13,The sermon emphasized the need for affirmative action.
DC_h06,DC_h06,Jeff thought you argued in favor of a centrifuge purchase.
DC_h07,DC_h07,The frightened child was gently subdued by his big brother.
DC_h08,DC_h08,How much will it cost to do any necessary modernizing and redecorating?
DC_h09,DC_h09,Each untimely income loss coincided with the breakdown of a heating system part.
DC_h10,DC_h10,She had your dark suit in greasy wash water all year.
DC_h11,DC_h11,Special task forces rescue hostages from kidnappers.
DC_h12,DC_h12,Each untimely income loss coincided with the breakdown of a heating system part.
DC_h13,DC_h13,The sermon emphasized the need for affirmative action.
DC_h14,DC_h14,She had your dark suit in greasy wash water all year.
DC_h15,DC_h15,Don't ask me to carry an oily rag like that.
DC_n01,DC_n18,The easygoing zoologist relaxed throughout the voyage.
DC_n02,DC_n17,Each untimely income loss coincided with the breakdown of a heating system part.
DC_n03,DC_n18,Special task forces rescue hostages from kidnappers.
DC_n04,DC_n15,Kindergarten children decorate their classrooms for all holidays.
DC_n05,DC_n05,The frightened child was gently subdued by his big brother.
DC_n06,DC_n06,Kindergarten children decorate their classrooms for all holidays.
DC_n07,DC_n24,The frightened child was gently subdued by his big brother.
DC_n08,DC_n08,A boring novel is a superb sleeping pill.
DC_n09,DC_n22,Call an ambulance for medical assistance.
DC_n10,DC_n10,Each untimely income loss coincided with the breakdown of a heating system part.
DC_n11,DC_n11,The tooth fairy forgot to come when Roger's tooth fell out.
DC_n12,DC_n12,The sermon emphasized the need for affirmative action.
DC_n13,DC_n18,The easygoing zoologist relaxed throughout the voyage.
DC_n14,DC_n30,She had your dark suit in greasy wash water all year.
DC_n15,DC_n15,"If Carol comes tomorrow, have her arrange for a meeting at two."
DC_n16,DC_n18,The frightened child was gently subdued by his big brother.
DC_n17,DC_n17,How much will it cost to do any necessary modernizing and redecorating?
DC_n18,DC_n18,Jeff thought you argued in favor of a centrifuge purchase.
DC_n19,DC_n29,Call an ambulance for medical assistance.
DC_n20,DC_n29,Cory and Trish played tag with beach balls for hours.
DC_n21,DC_n24,The tooth fairy forgot to come when Roger's tooth fell out.
DC_n22,DC_n22,Jeff thought you argued in favor of a centrifuge purchase.
DC_n23,DC_n23,The frightened child was gently subdued by his big brother.
DC_n24,DC_n24,Each untimely income loss coincided with the breakdown of a heating system part.
DC_n25,DC_n29,Jeff thought you argued in favor of a centrifuge purchase.
DC_n26,DC_n30,Is a relaxed home atmosphere enough to help her outgrow these traits?
DC_n27,DC_n30,Cory and Trish played tag with beach balls for hours.
DC_n28,DC_n30,We saw eight tiny icicles below our roof.
DC_n29,DC_n29,The same shelter could be built into an embankment or below ground level.
DC_n30,DC_n30,The frightened child was gently subdued by his big brother.
DC_sa01,DC_sa03,How much will it cost to do any necessary modernizing and redecorating?
DC_sa02,DC_sa02,The easygoing zoologist relaxed throughout the voyage.
DC_sa03,DC_sa03,Jeff thought you argued in favor of a centrifuge purchase.
DC_sa04,DC_sa15,She had your dark suit in greasy wash water all year.
DC_sa05,DC_sa05,The frightened child was gently subdued by his big brother.
DC_sa06,DC_sa08,She had your dark suit in greasy wash water all year.
DC_sa07,DC_sa08,The tooth fairy forgot to come when Roger's tooth fell out.
DC_sa08,DC_sa08,Was she just naturally sloppy about everything but her physical appearance?
DC_sa09,DC_sa09,She had your dark suit in greasy wash water all year.
DC_sa10,DC_sa14,The same shelter could be built into an embankment or below ground level.
DC_sa11,DC_sa15,Call an ambulance for medical assistance.
DC_sa12,DC_sa12,The tooth fairy forgot to come when Roger's tooth fell out.
DC_sa13,DC_sa14,Jeff thought you argued in favor of a centrifuge purchase.
DC_sa14,DC_sa14,She had your dark suit in greasy wash water all year.
DC_sa15,DC_sa15,She had your dark suit in greasy wash water all year.
DC_su01,DC_su03,We saw eight tiny icicles below our roof.
DC_su02,DC_su02,Is a relaxed home atmosphere enough to help her outgrow these traits?
DC_su03,DC_su03,Don't ask me to carry an oily rag like that.
DC_su04,DC_su04,The tooth fairy forgot to come when Roger's tooth fell out.
DC_su05,DC_su12,Special task forces rescue hostages from kidnappers.
DC_su06,DC_su06,She had your dark suit in greasy wash water all year.
DC_su07,DC_su07,Each untimely income loss coincided with the breakdown of a heating system part.
DC_su08,DC_su12,Call an ambulance for medical assistance.
DC_su09,DC_su09,The sermon emphasized the need for affirmative action.
DC_su10,DC_su10,The tooth fairy forgot to come when Roger's tooth fell out.
DC_su11,DC_su11,Jeff thought you argued in favor of a centrifuge purchase.
DC_su12,DC_su12,Don't ask me to carry an oily rag like that.
DC_su13,DC_su14,Jeff thought you argued in favor of a centrifuge purchase.
DC_su14,DC_su14,Cory and Trish played tag with beach balls for hours.
DC_su15,DC_su15,Don't ask me to carry an oily rag like that.
JK_a01,JK_a03,Special task forces rescue hostages from kidnappers.
JK_a02,JK_a07,The frightened child was gently subdued by his big brother.
JK_a03,JK_a03,Kindergarten children decorate their classrooms for all holidays.
JK_a04,JK_a05,The tooth fairy forgot to come when Roger's tooth fell out.
JK_a05,JK_a05,The same shelter could be built into an embankment or below ground level.
JK_a06,JK_a12,Don't ask me to carry an oily rag like that.
JK_a07,JK_a07,Call an ambulance for medical assistance.
JK_a08,JK_a08,The frightened child was gently subdued by his big brother.
JK_a09,JK_a14,Jeff thought you argued in favor of a centrifuge purchase.
JK_a10,JK_a10,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_a11,JK_a11,Kindergarten children decorate their classrooms for all holidays.
JK_a12,JK_a12,Call an ambulance for medical assistance.
JK_a13,JK_a14,The frightened child was gently subdued by his big brother.
JK_a14,JK_a14,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_a15,JK_a15,Don't ask me to carry an oily rag like that.
JK_d01,JK_d03,Special task forces rescue hostages from kidnappers.
JK_d02,JK_d06,The fish began to leap frantically on the surface of the small lake.
JK_d03,JK_d03,Don't ask me to carry an oily rag like that.
JK_d04,JK_d04,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_d05,JK_d05,Each untimely income loss coincided with the breakdown of a heating system part.
JK_d06,JK_d06,She had your dark suit in greasy wash water all year.
JK_d07,JK_d12,Was she just naturally sloppy about everything but her physical appearance?
JK_d08,JK_d08,How much will it cost to do any necessary modernizing and redecorating?
JK_d09,JK_d09,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_d10,JK_d15,We saw eight tiny icicles below our roof.
JK_d11,JK_d15,Don't ask me to carry an oily rag like that.
JK_d12,JK_d12,The frightened child was gently subdued by his big brother.
