file_id_sample_to_clone,file_id_sample_to_compare,text
tess_OAF_anger_back,tess_OAF_anger_back,Say the word jail.
tess_OAF_anger_bar,tess_OAF_anger_bar,Say the word mop.
tess_OAF_anger_base,tess_OAF_anger_base,Say the word came.
tess_OAF_anger_bath,tess_OAF_anger_bath,Say the word week.
tess_OAF_anger_bean,tess_OAF_anger_bean,Say the word pass.
tess_OAF_anger_beg,tess_OAF_anger_beg,Say the word sure.
tess_OAF_anger_bite,tess_OAF_anger_bite,Say the word knock.
tess_OAF_anger_boat,tess_OAF_anger_boat,Say the word reach.
tess_OAF_anger_bone,tess_OAF_anger_bone,Say the word shirt.
tess_OAF_anger_book,tess_OAF_anger_book,Say the word mood.
tess_OAF_anger_bought,tess_OAF_anger_bought,Say the word get.
tess_OAF_anger_burn,tess_OAF_anger_burn,Say the word beg.
tess_OAF_anger_cab,tess_OAF_anger_cab,Say the word soap.
tess_OAF_anger_calm,tess_OAF_anger_calm,Say the word deep.
tess_OAF_anger_came,tess_OAF_anger_came,Say the word hire.
tess_OAF_anger_cause,tess_OAF_anger_cause,Say the word jail.
tess_OAF_anger_chain,tess_OAF_anger_chain,Say the word ripe.
tess_OAF_anger_chair,tess_OAF_anger_chair,Say the word soap.
tess_OAF_anger_chalk,tess_OAF_anger_chalk,Say the word hurl.
tess_OAF_anger_chat,tess_OAF_anger_chat,Say the word near.
tess_OAF_anger_check,tess_OAF_anger_check,Say the word turn.
tess_OAF_anger_cheek,tess_OAF_anger_cheek,Say the word tire.
tess_OAF_anger_chief,tess_OAF_anger_chief,Say the word dab.
tess_OAF_anger_choice,tess_OAF_anger_choice,Say the word king.
tess_OAF_anger_cool,tess_OAF_anger_cool,Say the word dead.
tess_OAF_anger_dab,tess_OAF_anger_dab,Say the word pain.
tess_OAF_anger_date,tess_OAF_anger_date,Say the word book.
tess_OAF_anger_dead,tess_OAF_anger_dead,Say the word pain.
tess_OAF_anger_death,tess_OAF_anger_death,Say the word keg.
tess_OAF_anger_deep,tess_OAF_anger_deep,Say the word vote.
tess_OAF_anger_dime,tess_OAF_anger_dime,Say the word raise.
tess_OAF_anger_dip,tess_OAF_anger_dip,Say the word sour.
tess_OAF_anger_ditch,tess_OAF_anger_ditch,Say the word rot.
tess_OAF_anger_dodge,tess_OAF_anger_dodge,Say the word haze.
tess_OAF_anger_dog,tess_OAF_anger_dog,Say the word pearl.
tess_OAF_anger_doll,tess_OAF_anger_doll,Say the word pole.
tess_OAF_anger_door,tess_OAF_anger_door,Say the word choice.
tess_OAF_anger_fail,tess_OAF_anger_fail,Say the word choice.
tess_OAF_anger_fall,tess_OAF_anger_fall,Say the word loaf.
tess_OAF_anger_far,tess_OAF_anger_far,Say the word void.
tess_OAF_anger_fat,tess_OAF_anger_fat,Say the word goose.
tess_OAF_anger_fit,tess_OAF_anger_fit,Say the word voice.
tess_OAF_anger_five,tess_OAF_anger_five,Say the word keep.
tess_OAF_anger_food,tess_OAF_anger_food,Say the word pike.
tess_OAF_anger_gap,tess_OAF_anger_gap,Say the word tip.
tess_OAF_anger_gas,tess_OAF_anger_gas,Say the word seize.
tess_OAF_anger_gaze,tess_OAF_anger_gaze,Say the word turn.
tess_OAF_anger_germ,tess_OAF_anger_germ,Say the word vote.
tess_OAF_anger_get,tess_OAF_anger_get,Say the word pad.
tess_OAF_anger_gin,tess_OAF_anger_gin,Say the word fit.
tess_OAF_anger_goal,tess_OAF_anger_goal,Say the word week.
tess_OAF_anger_good,tess_OAF_anger_good,Say the word cab.
tess_OAF_anger_goose,tess_OAF_anger_goose,Say the word kick.
tess_OAF_anger_gun,tess_OAF_anger_gun,Say the word luck.
tess_OAF_anger_half,tess_OAF_anger_half,Say the word yes.
tess_OAF_anger_hall,tess_OAF_anger_hall,Say the word laud.
tess_OAF_anger_hash,tess_OAF_anger_hash,Say the word fall.
tess_OAF_anger_hate,tess_OAF_anger_hate,Say the word thin.
tess_OAF_anger_have,tess_OAF_anger_have,Say the word soap.
tess_OAF_anger_haze,tess_OAF_anger_haze,Say the word red.
tess_OAF_anger_hire,tess_OAF_anger_hire,Say the word raid.
tess_OAF_anger_hit,tess_OAF_anger_hit,Say the word lot.
tess_OAF_anger_hole,tess_OAF_anger_hole,Say the word gaze.
tess_OAF_anger_home,tess_OAF_anger_home,Say the word walk.
tess_OAF_anger_hurl,tess_OAF_anger_hurl,Say the word keen.
tess_OAF_anger_hush,tess_OAF_anger_hush,Say the word team.
tess_OAF_anger_jail,tess_OAF_anger_jail,Say the word luck.
tess_OAF_anger_jar,tess_OAF_anger_jar,Say the word goal.
tess_OAF_anger_join,tess_OAF_anger_join,Say the word talk.
tess_OAF_anger_judge,tess_OAF_anger_judge,Say the word live.
tess_OAF_anger_jug,tess_OAF_anger_jug,Say the word book.
tess_OAF_anger_juice,tess_OAF_anger_juice,Say the word make.
tess_OAF_anger_keen,tess_OAF_anger_keen,Say the word ton.
tess_OAF_anger_keep,tess_OAF_anger_keep,Say the word laud.
tess_OAF_anger_keg,tess_OAF_anger_keg,Say the word cab.
tess_OAF_anger_kick,tess_OAF_anger_kick,Say the word boat.
tess_OAF_anger_kill,tess_OAF_anger_kill,Say the word voice.
tess_OAF_anger_king,tess_OAF_anger_king,Say the word tire.
tess_OAF_anger_kite,tess_OAF_anger_kite,Say the word mode.
tess_OAF_anger_knock,tess_OAF_anger_knock,Say the word nice.
tess_OAF_anger_late,tess_OAF_anger_late,Say the word juice.
tess_OAF_anger_laud,tess_OAF_anger_laud,Say the word should.
tess_OAF_anger_lean,tess_OAF_anger_lean,Say the word dime.
tess_OAF_anger_learn,tess_OAF_anger_learn,Say the word south.
tess_OAF_anger_lease,tess_OAF_anger_lease,Say the word ripe.
tess_OAF_anger_lid,tess_OAF_anger_lid,Say the word gun.
tess_OAF_anger_life,tess_OAF_anger_life,Say the word cause.
tess_OAF_anger_limb,tess_OAF_anger_limb,Say the word goal.
tess_OAF_anger_live,tess_OAF_anger_live,Say the word doll.
tess_OAF_anger_loaf,tess_OAF_anger_loaf,Say the word limb.
tess_OAF_anger_long,tess_OAF_anger_long,Say the word shirt.
tess_OAF_anger_lore,tess_OAF_anger_lore,Say the word dead.
tess_OAF_anger_lose,tess_OAF_anger_lose,Say the word red.
tess_OAF_anger_lot,tess_OAF_anger_lot,Say the word chair.
tess_OAF_anger_love,tess_OAF_anger_love,Say the word burn.
tess_OAF_anger_luck,tess_OAF_anger_luck,Say the word food.
tess_OAF_anger_make,tess_OAF_anger_make,Say the word choice.
tess_OAF_anger_match,tess_OAF_anger_match,Say the word mess.
tess_OAF_anger_merge,tess_OAF_anger_merge,Say the word make.
tess_OAF_anger_mess,tess_OAF_anger_mess,Say the word sour.
tess_OAF_anger_met,tess_OAF_anger_met,Say the word wheat.
tess_OAF_anger_mill,tess_OAF_anger_mill,Say the word late.
tess_OAF_anger_mob,tess_OAF_anger_mob,Say the word near.
tess_OAF_anger_mode,tess_OAF_anger_mode,Say the word wheat.
tess_OAF_anger_mood,tess_OAF_anger_mood,Say the word ditch.
tess_OAF_anger_moon,tess_OAF_anger_moon,Say the word size.
tess_OAF_anger_mop,tess_OAF_anger_mop,Say the word make.
tess_OAF_anger_mouse,tess_OAF_anger_mouse,Say the word lose.
tess_OAF_anger_nag,tess_OAF_anger_nag,Say the word fail.
tess_OAF_anger_name,tess_OAF_anger_name,Say the word such.
tess_OAF_anger_near,tess_OAF_anger_near,Say the word bought.
tess_OAF_anger_neat,tess_OAF_anger_neat,Say the word rot.
tess_OAF_anger_nice,tess_OAF_anger_nice,Say the word judge.
tess_OAF_anger_note,tess_OAF_anger_note,Say the word fit.
tess_OAF_anger_numb,tess_OAF_anger_numb,Say the word rat.
tess_OAF_anger_pad,tess_OAF_anger_pad,Say the word far.
tess_OAF_anger_page,tess_OAF_anger_page,Say the word keen.
tess_OAF_anger_pain,tess_OAF_anger_pain,Say the word have.
tess_OAF_anger_pass,tess_OAF_anger_pass,Say the word five.
tess_OAF_anger_pearl,tess_OAF_anger_pearl,Say the word talk.
tess_OAF_anger_peg,tess_OAF_anger_peg,Say the word keg.
tess_OAF_anger_perch,tess_OAF_anger_perch,Say the word make.
tess_OAF_anger_phone,tess_OAF_anger_phone,Say the word rag.
tess_OAF_anger_pick,tess_OAF_anger_pick,Say the word book.
tess_OAF_anger_pike,tess_OAF_anger_pike,Say the word tire.
tess_OAF_anger_pole,tess_OAF_anger_pole,Say the word shawl.
tess_OAF_anger_pool,tess_OAF_anger_pool,Say the word hurl.
tess_OAF_anger_puff,tess_OAF_anger_puff,Say the word life.
tess_OAF_anger_rag,tess_OAF_anger_rag,Say the word room.
tess_OAF_anger_raid,tess_OAF_anger_raid,Say the word lore.
tess_OAF_anger_rain,tess_OAF_anger_rain,Say the word pick.
tess_OAF_anger_raise,tess_OAF_anger_raise,Say the word search.
tess_OAF_anger_rat,tess_OAF_anger_rat,Say the word red.
tess_OAF_anger_reach,tess_OAF_anger_reach,Say the word pole.
tess_OAF_anger_read,tess_OAF_anger_read,Say the word red.
tess_OAF_anger_red,tess_OAF_anger_red,Say the word fall.
tess_OAF_anger_ring,tess_OAF_anger_ring,Say the word dodge.
tess_OAF_anger_ripe,tess_OAF_anger_ripe,Say the word laud.
tess_OAF_anger_road,tess_OAF_anger_road,Say the word peg.
tess_OAF_anger_room,tess_OAF_anger_room,Say the word walk.
tess_OAF_anger_rose,tess_OAF_anger_rose,Say the word pole.
tess_OAF_anger_rot,tess_OAF_anger_rot,Say the word lease.
tess_OAF_anger_rough,tess_OAF_anger_rough,Say the word calm.
tess_OAF_anger_rush,tess_OAF_anger_rush,Say the word dime.
tess_OAF_anger_said,tess_OAF_anger_said,Say the word reach.
tess_OAF_anger_sail,tess_OAF_anger_sail,Say the word sell.
tess_OAF_anger_search,tess_OAF_anger_search,Say the word gun.
tess_OAF_anger_seize,tess_OAF_anger_seize,Say the word beg.
tess_OAF_anger_sell,tess_OAF_anger_sell,Say the word burn.
tess_OAF_anger_shack,tess_OAF_anger_shack,Say the word pain.
tess_OAF_anger_shall,tess_OAF_anger_shall,Say the word door.
tess_OAF_anger_shawl,tess_OAF_anger_shawl,Say the word death.
tess_OAF_anger_sheep,tess_OAF_anger_sheep,Say the word room.
tess_OAF_anger_shirt,tess_OAF_anger_shirt,Say the word dip.
tess_OAF_anger_should,tess_OAF_anger_should,Say the word tape.
tess_OAF_anger_shout,tess_OAF_anger_shout,Say the word name.
tess_OAF_anger_size,tess_OAF_anger_size,Say the word young.
tess_OAF_anger_soap,tess_OAF_anger_soap,Say the word lore.
tess_OAF_anger_soup,tess_OAF_anger_soup,Say the word long.
tess_OAF_anger_sour,tess_OAF_anger_sour,Say the word gaze.
tess_OAF_anger_south,tess_OAF_anger_south,Say the word home.
tess_OAF_anger_sub,tess_OAF_anger_sub,Say the word should.
tess_OAF_anger_such,tess_OAF_anger_such,Say the word fall.
tess_OAF_anger_sure,tess_OAF_anger_sure,Say the word make.
tess_OAF_anger_take,tess_OAF_anger_take,Say the word ditch.
tess_OAF_anger_talk,tess_OAF_anger_talk,Say the word pool.
tess_OAF_anger_tape,tess_OAF_anger_tape,Say the word dime.
tess_OAF_anger_team,tess_OAF_anger_team,Say the word thumb.
tess_OAF_anger_tell,tess_OAF_anger_tell,Say the word judge.
tess_OAF_anger_thin,tess_OAF_anger_thin,Say the word mess.
tess_OAF_anger_third,tess_OAF_anger_third,Say the word witch.
tess_OAF_anger_thought,tess_OAF_anger_thought,Say the word mood.
tess_OAF_anger_thumb,tess_OAF_anger_thumb,Say the word pick.
tess_OAF_anger_time,tess_OAF_anger_time,Say the word gas.
tess_OAF_anger_tip,tess_OAF_anger_tip,Say the word merge.
tess_OAF_anger_tire,tess_OAF_anger_tire,Say the word keg.
tess_OAF_anger_ton,tess_OAF_anger_ton,Say the word rose.
tess_OAF_anger_tool,tess_OAF_anger_tool,Say the word shack.
tess_OAF_anger_tough,tess_OAF_anger_tough,Say the word tell.
tess_OAF_anger_turn,tess_OAF_anger_turn,Say the word match.
tess_OAF_anger_vine,tess_OAF_anger_vine,Say the word sheep.
tess_OAF_anger_voice,tess_OAF_anger_voice,Say the word ditch.
tess_OAF_anger_void,tess_OAF_anger_void,Say the word door.
tess_OAF_anger_vote,tess_OAF_anger_vote,Say the word mill.
tess_OAF_anger_wag,tess_OAF_anger_wag,Say the word sheep.
tess_OAF_anger_walk,tess_OAF_anger_walk,Say the word tape.
tess_OAF_anger_wash,tess_OAF_anger_wash,Say the word vine.
tess_OAF_anger_week,tess_OAF_anger_week,Say the word date.
tess_OAF_anger_wheat,tess_OAF_anger_wheat,Say the word sub.
tess_OAF_anger_when,tess_OAF_anger_when,Say the word shirt.
tess_OAF_anger_which,tess_OAF_anger_which,Say the word lid.
tess_OAF_anger_whip,tess_OAF_anger_whip,Say the word week.
tess_OAF_anger_white,tess_OAF_anger_white,Say the word rag.
tess_OAF_anger_wife,tess_OAF_anger_wife,Say the word calm.
tess_OAF_anger_wire,tess_OAF_anger_wire,Say the word door.
tess_OAF_anger_witch,tess_OAF_anger_witch,Say the word note.
tess_OAF_anger_yearn,tess_OAF_anger_yearn,Say the word name.
tess_OAF_anger_yes,tess_OAF_anger_yes,Say the word said.
tess_OAF_anger_young,tess_OAF_anger_young,Say the word should.
tess_OAF_anger_youth,tess_OAF_anger_youth,Say the word mill.
tess_OAF_disgust_back,tess_OAF_disgust_back,Say the word cool.
tess_OAF_disgust_bar,tess_OAF_disgust_bar,Say the word keen.
tess_OAF_disgust_base,tess_OAF_disgust_base,Say the word void.
tess_OAF_disgust_bath,tess_OAF_disgust_bath,Say the word lose.
tess_OAF_disgust_bean,tess_OAF_disgust_bean,Say the word fall.
tess_OAF_disgust_beg,tess_OAF_disgust_beg,Say the word chalk.
tess_OAF_disgust_bite,tess_OAF_disgust_bite,Say the word rose.
tess_OAF_disgust_boat,tess_OAF_disgust_boat,Say the word raid.
tess_OAF_disgust_bone,tess_OAF_disgust_bone,Say the word voice.
tess_OAF_disgust_book,tess_OAF_disgust_book,Say the word week.
tess_OAF_disgust_bought,tess_OAF_disgust_bought,Say the word ring.
tess_OAF_disgust_burn,tess_OAF_disgust_burn,Say the word far.
tess_OAF_disgust_cab,tess_OAF_disgust_cab,Say the word wife.
tess_OAF_disgust_calm,tess_OAF_disgust_calm,Say the word laud.
tess_OAF_disgust_came,tess_OAF_disgust_came,Say the word pad.
tess_OAF_disgust_cause,tess_OAF_disgust_cause,Say the word goose.
tess_OAF_disgust_chain,tess_OAF_disgust_chain,Say the word seize.
tess_OAF_disgust_chair,tess_OAF_disgust_chair,Say the word fat.
