id_sample_to_clone,id_sample_to_compare,text
crema-d_1001_anger_DFAXX,crema-d_1001_anger_DFAXX,The airplane is almost full.
crema-d_1001_anger_IEOHI,crema-d_1001_anger_IEOMD,The surface is slick.
crema-d_1001_anger_IEOLO,crema-d_1001_anger_IEOMD,We'll stop in a couple of minutes.
crema-d_1001_anger_IEOMD,crema-d_1001_anger_IEOMD,We'll stop in a couple of minutes.
crema-d_1001_anger_IOMXX,crema-d_1001_anger_IOMXX,Maybe tomorrow it will be cold.
crema-d_1001_anger_ITHXX,crema-d_1001_anger_ITHXX,I think I've seen this before.
crema-d_1001_anger_ITSXX,crema-d_1001_anger_ITSXX,It's eleven o'clock.
crema-d_1001_anger_IWLXX,crema-d_1001_anger_IWLXX,Don't forget a jacket.
crema-d_1001_anger_IWWXX,crema-d_1001_anger_IWWXX,I would like a new alarm clock.
crema-d_1001_anger_MTIXX,crema-d_1001_anger_MTIXX,I'm on my way to the meeting.
crema-d_1001_anger_TAIXX,crema-d_1001_anger_TAIXX,I'm on my way to the meeting.
crema-d_1001_anger_TIEXX,crema-d_1001_anger_TIEXX,We'll stop in a couple of minutes.
crema-d_1001_anger_TSIXX,crema-d_1001_anger_TSIXX,We'll stop in a couple of minutes.
crema-d_1001_anger_WSIXX,crema-d_1001_anger_WSIXX,I would like a new alarm clock.
crema-d_1001_disgust_DFAXX,crema-d_1001_disgust_DFAXX,I think I've seen this before.
crema-d_1001_disgust_IEOHI,crema-d_1001_disgust_IEOMD,I'm on my way to the meeting.
crema-d_1001_disgust_IEOLO,crema-d_1001_disgust_IEOMD,I wonder what this is about.
crema-d_1001_disgust_IEOMD,crema-d_1001_disgust_IEOMD,I wonder what this is about.
crema-d_1001_disgust_IOMXX,crema-d_1001_disgust_IOMXX,I think I've seen this before.
crema-d_1001_disgust_ITHXX,crema-d_1001_disgust_ITHXX,I think I've seen this before.
crema-d_1001_disgust_ITSXX,crema-d_1001_disgust_ITSXX,I'm on my way to the meeting.
crema-d_1001_disgust_IWLXX,crema-d_1001_disgust_IWLXX,It's eleven o'clock.
crema-d_1001_disgust_IWWXX,crema-d_1001_disgust_IWWXX,Don't forget a jacket.
crema-d_1001_disgust_MTIXX,crema-d_1001_disgust_MTIXX,It's eleven o'clock.
crema-d_1001_disgust_TAIXX,crema-d_1001_disgust_TAIXX,Don't forget a jacket.
crema-d_1001_disgust_TIEXX,crema-d_1001_disgust_TIEXX,The surface is slick.
crema-d_1001_disgust_TSIXX,crema-d_1001_disgust_TSIXX,We'll stop in a couple of minutes.
crema-d_1001_disgust_WSIXX,crema-d_1001_disgust_WSIXX,It's eleven o'clock.
crema-d_1001_fear_DFAXX,crema-d_1001_fear_DFAXX,I wonder what this is about.
crema-d_1001_fear_IEOHI,crema-d_1001_fear_IEOMD,That is exactly what happened.
crema-d_1001_fear_IEOLO,crema-d_1001_fear_IEOMD,I think I have a doctor's appointment.
crema-d_1001_fear_IEOMD,crema-d_1001_fear_IEOMD,Don't forget a jacket.
crema-d_1001_fear_IOMXX,crema-d_1001_fear_IOMXX,Don't forget a jacket.
crema-d_1001_fear_ITHXX,crema-d_1001_fear_ITHXX,I wonder what this is about.
crema-d_1001_fear_ITSXX,crema-d_1001_fear_ITSXX,I wonder what this is about.
crema-d_1001_fear_IWLXX,crema-d_1001_fear_IWLXX,I wonder what this is about.
crema-d_1001_fear_IWWXX,crema-d_1001_fear_IWWXX,I'm on my way to the meeting.
crema-d_1001_fear_MTIXX,crema-d_1001_fear_MTIXX,That is exactly what happened.
crema-d_1001_fear_TAIXX,crema-d_1001_fear_TAIXX,I wonder what this is about.
crema-d_1001_fear_TIEXX,crema-d_1001_fear_TIEXX,The surface is slick.
crema-d_1001_fear_TSIXX,crema-d_1001_fear_TSIXX,I think I have a doctor's appointment.
crema-d_1001_fear_WSIXX,crema-d_1001_fear_WSIXX,I think I've seen this before.
crema-d_1001_happiness_DFAXX,crema-d_1001_happiness_DFAXX,I would like a new alarm clock.
crema-d_1001_happiness_IEOHI,crema-d_1001_happiness_IEOMD,I wonder what this is about.
crema-d_1001_happiness_IEOLO,crema-d_1001_happiness_IEOMD,We'll stop in a couple of minutes.
crema-d_1001_happiness_IEOMD,crema-d_1001_happiness_IEOMD,The airplane is almost full.
crema-d_1001_happiness_IOMXX,crema-d_1001_happiness_IOMXX,It's eleven o'clock.
crema-d_1001_happiness_ITHXX,crema-d_1001_happiness_ITHXX,We'll stop in a couple of minutes.
crema-d_1001_happiness_ITSXX,crema-d_1001_happiness_ITSXX,We'll stop in a couple of minutes.
crema-d_1001_happiness_IWLXX,crema-d_1001_happiness_IWLXX,We'll stop in a couple of minutes.
crema-d_1001_happiness_IWWXX,crema-d_1001_happiness_IWWXX,I think I've seen this before.
crema-d_1001_happiness_MTIXX,crema-d_1001_happiness_MTIXX,The surface is slick.
crema-d_1001_happiness_TAIXX,crema-d_1001_happiness_TAIXX,I'm on my way to the meeting.
crema-d_1001_happiness_TIEXX,crema-d_1001_happiness_TIEXX,I think I've seen this before.
crema-d_1001_happiness_TSIXX,crema-d_1001_happiness_TSIXX,It's eleven o'clock.
crema-d_1001_happiness_WSIXX,crema-d_1001_happiness_WSIXX,I would like a new alarm clock.
crema-d_1001_neutral_DFAXX,crema-d_1001_neutral_DFAXX,I wonder what this is about.
crema-d_1001_neutral_IEOXX,crema-d_1001_neutral_IEOXX,The surface is slick.
crema-d_1001_neutral_IOMXX,crema-d_1001_neutral_IOMXX,I think I've seen this before.
crema-d_1001_neutral_ITHXX,crema-d_1001_neutral_ITHXX,The airplane is almost full.
crema-d_1001_neutral_ITSXX,crema-d_1001_neutral_ITSXX,We'll stop in a couple of minutes.
crema-d_1001_neutral_IWLXX,crema-d_1001_neutral_IWLXX,Maybe tomorrow it will be cold.
crema-d_1001_neutral_IWWXX,crema-d_1001_neutral_IWWXX,I think I've seen this before.
crema-d_1001_neutral_MTIXX,crema-d_1001_neutral_MTIXX,That is exactly what happened.
crema-d_1001_neutral_TAIXX,crema-d_1001_neutral_TAIXX,The surface is slick.
crema-d_1001_neutral_TIEXX,crema-d_1001_neutral_TIEXX,I wonder what this is about.
crema-d_1001_neutral_TSIXX,crema-d_1001_neutral_TSIXX,The airplane is almost full.
crema-d_1001_neutral_WSIXX,crema-d_1001_neutral_WSIXX,That is exactly what happened.
crema-d_1001_sadness_DFAXX,crema-d_1001_sadness_DFAXX,Maybe tomorrow it will be cold.
crema-d_1001_sadness_IEOHI,crema-d_1001_sadness_IEOMD,I wonder what this is about.
crema-d_1001_sadness_IEOLO,crema-d_1001_sadness_IEOMD,Maybe tomorrow it will be cold.
crema-d_1001_sadness_IEOMD,crema-d_1001_sadness_IEOMD,That is exactly what happened.
crema-d_1001_sadness_IOMXX,crema-d_1001_sadness_IOMXX,The airplane is almost full.
crema-d_1001_sadness_ITHXX,crema-d_1001_sadness_ITHXX,I would like a new alarm clock.
crema-d_1001_sadness_ITSXX,crema-d_1001_sadness_ITSXX,I'm on my way to the meeting.
crema-d_1001_sadness_IWLXX,crema-d_1001_sadness_IWLXX,The airplane is almost full.
crema-d_1001_sadness_IWWXX,crema-d_1001_sadness_IWWXX,The airplane is almost full.
crema-d_1001_sadness_MTIXX,crema-d_1001_sadness_MTIXX,That is exactly what happened.
crema-d_1001_sadness_TAIXX,crema-d_1001_sadness_TAIXX,That is exactly what happened.
crema-d_1001_sadness_TIEXX,crema-d_1001_sadness_TIEXX,We'll stop in a couple of minutes.
crema-d_1001_sadness_TSIXX,crema-d_1001_sadness_TSIXX,I think I've seen this before.
crema-d_1001_sadness_WSIXX,crema-d_1001_sadness_WSIXX,Don't forget a jacket.
crema-d_1002_anger_DFAXX,crema-d_1002_anger_DFAXX,We'll stop in a couple of minutes.
crema-d_1002_anger_IEOHI,crema-d_1002_anger_IEOMD,I think I have a doctor's appointment.
crema-d_1002_anger_IEOLO,crema-d_1002_anger_IEOMD,I'm on my way to the meeting.
crema-d_1002_anger_IEOMD,crema-d_1002_anger_IEOMD,That is exactly what happened.
crema-d_1002_anger_IOMXX,crema-d_1002_anger_IOMXX,It's eleven o'clock.
crema-d_1002_anger_ITHXX,crema-d_1002_anger_ITHXX,I would like a new alarm clock.
crema-d_1002_anger_ITSXX,crema-d_1002_anger_ITSXX,Don't forget a jacket.
crema-d_1002_anger_IWLXX,crema-d_1002_anger_IWLXX,I think I've seen this before.
crema-d_1002_anger_IWWXX,crema-d_1002_anger_IWWXX,Maybe tomorrow it will be cold.
crema-d_1002_anger_MTIXX,crema-d_1002_anger_MTIXX,The surface is slick.
crema-d_1002_anger_TAIXX,crema-d_1002_anger_TAIXX,Maybe tomorrow it will be cold.
crema-d_1002_anger_TIEXX,crema-d_1002_anger_TIEXX,We'll stop in a couple of minutes.
crema-d_1002_anger_TSIXX,crema-d_1002_anger_TSIXX,Don't forget a jacket.
crema-d_1002_anger_WSIXX,crema-d_1002_anger_WSIXX,I would like a new alarm clock.
crema-d_1002_disgust_DFAXX,crema-d_1002_disgust_DFAXX,The surface is slick.
crema-d_1002_disgust_IEOHI,crema-d_1002_disgust_IEOMD,I would like a new alarm clock.
crema-d_1002_disgust_IEOLO,crema-d_1002_disgust_IEOMD,The surface is slick.
crema-d_1002_disgust_IEOMD,crema-d_1002_disgust_IEOMD,I wonder what this is about.
crema-d_1002_disgust_IOMXX,crema-d_1002_disgust_IOMXX,That is exactly what happened.
crema-d_1002_disgust_ITHXX,crema-d_1002_disgust_ITHXX,I would like a new alarm clock.
crema-d_1002_disgust_ITSXX,crema-d_1002_disgust_ITSXX,I would like a new alarm clock.
crema-d_1002_disgust_IWLXX,crema-d_1002_disgust_IWLXX,I'm on my way to the meeting.
crema-d_1002_disgust_IWWXX,crema-d_1002_disgust_IWWXX,I'm on my way to the meeting.
crema-d_1002_disgust_MTIXX,crema-d_1002_disgust_MTIXX,That is exactly what happened.
crema-d_1002_disgust_TAIXX,crema-d_1002_disgust_TAIXX,We'll stop in a couple of minutes.
crema-d_1002_disgust_TIEXX,crema-d_1002_disgust_TIEXX,The airplane is almost full.
crema-d_1002_disgust_TSIXX,crema-d_1002_disgust_TSIXX,I'm on my way to the meeting.
crema-d_1002_disgust_WSIXX,crema-d_1002_disgust_WSIXX,I would like a new alarm clock.
crema-d_1002_fear_DFAXX,crema-d_1002_fear_DFAXX,I would like a new alarm clock.
crema-d_1002_fear_IEOHI,crema-d_1002_fear_IEOMD,I think I've seen this before.
crema-d_1002_fear_IEOLO,crema-d_1002_fear_IEOMD,Don't forget a jacket.
crema-d_1002_fear_IEOMD,crema-d_1002_fear_IEOMD,I think I have a doctor's appointment.
crema-d_1002_fear_IOMXX,crema-d_1002_fear_IOMXX,I think I've seen this before.
crema-d_1002_fear_ITHXX,crema-d_1002_fear_ITHXX,I think I've seen this before.
crema-d_1002_fear_ITSXX,crema-d_1002_fear_ITSXX,I think I have a doctor's appointment.
crema-d_1002_fear_IWLXX,crema-d_1002_fear_IWLXX,Maybe tomorrow it will be cold.
crema-d_1002_fear_IWWXX,crema-d_1002_fear_IWWXX,I think I have a doctor's appointment.
crema-d_1002_fear_MTIXX,crema-d_1002_fear_MTIXX,I think I have a doctor's appointment.
crema-d_1002_fear_TAIXX,crema-d_1002_fear_TAIXX,I think I have a doctor's appointment.
crema-d_1002_fear_TIEXX,crema-d_1002_fear_TIEXX,I think I have a doctor's appointment.
crema-d_1002_fear_TSIXX,crema-d_1002_fear_TSIXX,I think I have a doctor's appointment.
crema-d_1002_fear_WSIXX,crema-d_1002_fear_WSIXX,I'm on my way to the meeting.
crema-d_1002_happiness_DFAXX,crema-d_1002_happiness_DFAXX,I think I've seen this before.
crema-d_1002_happiness_IEOHI,crema-d_1002_happiness_IEOMD,I'm on my way to the meeting.
crema-d_1002_happiness_IEOLO,crema-d_1002_happiness_IEOMD,Maybe tomorrow it will be cold.
crema-d_1002_happiness_IEOMD,crema-d_1002_happiness_IEOMD,I wonder what this is about.
crema-d_1002_happiness_IOMXX,crema-d_1002_happiness_IOMXX,That is exactly what happened.
crema-d_1002_happiness_ITHXX,crema-d_1002_happiness_ITHXX,I'm on my way to the meeting.
crema-d_1002_happiness_ITSXX,crema-d_1002_happiness_ITSXX,Maybe tomorrow it will be cold.
crema-d_1002_happiness_IWLXX,crema-d_1002_happiness_IWLXX,I think I have a doctor's appointment.
crema-d_1002_happiness_IWWXX,crema-d_1002_happiness_IWWXX,The surface is slick.
crema-d_1002_happiness_MTIXX,crema-d_1002_happiness_MTIXX,Don't forget a jacket.
crema-d_1002_happiness_TAIXX,crema-d_1002_happiness_TAIXX,Maybe tomorrow it will be cold.
crema-d_1002_happiness_TIEXX,crema-d_1002_happiness_TIEXX,The surface is slick.
crema-d_1002_happiness_TSIXX,crema-d_1002_happiness_TSIXX,Don't forget a jacket.
crema-d_1002_happiness_WSIXX,crema-d_1002_happiness_WSIXX,The surface is slick.
crema-d_1002_neutral_DFAXX,crema-d_1002_neutral_DFAXX,The airplane is almost full.
crema-d_1002_neutral_IEOXX,crema-d_1002_neutral_IEOXX,I would like a new alarm clock.
crema-d_1002_neutral_IOMXX,crema-d_1002_neutral_IOMXX,The surface is slick.
crema-d_1002_neutral_ITHXX,crema-d_1002_neutral_ITHXX,I think I've seen this before.
crema-d_1002_neutral_ITSXX,crema-d_1002_neutral_ITSXX,I wonder what this is about.
crema-d_1002_neutral_IWLXX,crema-d_1002_neutral_IWLXX,It's eleven o'clock.
crema-d_1002_neutral_IWWXX,crema-d_1002_neutral_IWWXX,I think I have a doctor's appointment.
crema-d_1002_neutral_MTIXX,crema-d_1002_neutral_MTIXX,I think I have a doctor's appointment.
crema-d_1002_neutral_TAIXX,crema-d_1002_neutral_TAIXX,I think I've seen this before.
crema-d_1002_neutral_TSIXX,crema-d_1002_neutral_TSIXX,Maybe tomorrow it will be cold.
crema-d_1002_neutral_WSIXX,crema-d_1002_neutral_WSIXX,I would like a new alarm clock.
crema-d_1002_sadness_DFAXX,crema-d_1002_sadness_DFAXX,I would like a new alarm clock.
crema-d_1002_sadness_IEOHI,crema-d_1002_sadness_IEOMD,I would like a new alarm clock.
crema-d_1002_sadness_IEOLO,crema-d_1002_sadness_IEOMD,Maybe tomorrow it will be cold.
crema-d_1002_sadness_IEOMD,crema-d_1002_sadness_IEOMD,Don't forget a jacket.
crema-d_1002_sadness_IOMXX,crema-d_1002_sadness_IOMXX,We'll stop in a couple of minutes.
crema-d_1002_sadness_ITHXX,crema-d_1002_sadness_ITHXX,Maybe tomorrow it will be cold.
crema-d_1002_sadness_ITSXX,crema-d_1002_sadness_ITSXX,Maybe tomorrow it will be cold.
crema-d_1002_sadness_IWLXX,crema-d_1002_sadness_IWLXX,Maybe tomorrow it will be cold.
crema-d_1002_sadness_IWWXX,crema-d_1002_sadness_IWWXX,I think I have a doctor's appointment.
crema-d_1002_sadness_MTIXX,crema-d_1002_sadness_MTIXX,Don't forget a jacket.
crema-d_1002_sadness_TAIXX,crema-d_1002_sadness_TAIXX,I think I have a doctor's appointment.
crema-d_1002_sadness_TIEXX,crema-d_1002_sadness_TIEXX,Maybe tomorrow it will be cold.
crema-d_1002_sadness_TSIXX,crema-d_1002_sadness_TSIXX,I wonder what this is about.
crema-d_1002_sadness_WSIXX,crema-d_1002_sadness_WSIXX,The surface is slick.
crema-d_1003_anger_DFAXX,crema-d_1003_anger_DFAXX,The surface is slick.
crema-d_1003_anger_IEOHI,crema-d_1003_anger_IEOMD,I wonder what this is about.
crema-d_1003_anger_IEOLO,crema-d_1003_anger_IEOMD,I'm on my way to the meeting.
crema-d_1003_anger_IEOMD,crema-d_1003_anger_IEOMD,I wonder what this is about.
crema-d_1003_anger_IOMXX,crema-d_1003_anger_IOMXX,I think I have a doctor's appointment.
crema-d_1003_anger_ITHXX,crema-d_1003_anger_ITHXX,It's eleven o'clock.
crema-d_1003_anger_ITSXX,crema-d_1003_anger_ITSXX,We'll stop in a couple of minutes.
crema-d_1003_anger_IWLXX,crema-d_1003_anger_IWLXX,I wonder what this is about.
crema-d_1003_anger_IWWXX,crema-d_1003_anger_IWWXX,That is exactly what happened.
crema-d_1003_anger_MTIXX,crema-d_1003_anger_MTIXX,We'll stop in a couple of minutes.
crema-d_1003_anger_TAIXX,crema-d_1003_anger_TAIXX,I would like a new alarm clock.
crema-d_1003_anger_TIEXX,crema-d_1003_anger_TIEXX,I would like a new alarm clock.
crema-d_1003_anger_TSIXX,crema-d_1003_anger_TSIXX,That is exactly what happened.
crema-d_1003_anger_WSIXX,crema-d_1003_anger_WSIXX,Don't forget a jacket.
crema-d_1003_disgust_DFAXX,crema-d_1003_disgust_DFAXX,The surface is slick.
crema-d_1003_disgust_IEOHI,crema-d_1003_disgust_IEOMD,That is exactly what happened.
crema-d_1003_disgust_IEOLO,crema-d_1003_disgust_IEOMD,I think I've seen this before.
crema-d_1003_disgust_IEOMD,crema-d_1003_disgust_IEOMD,Maybe tomorrow it will be cold.
crema-d_1003_disgust_IOMXX,crema-d_1003_disgust_IOMXX,I think I've seen this before.
crema-d_1003_disgust_ITHXX,crema-d_1003_disgust_ITHXX,The airplane is almost full.
crema-d_1003_disgust_ITSXX,crema-d_1003_disgust_ITSXX,The surface is slick.
crema-d_1003_disgust_IWLXX,crema-d_1003_disgust_IWLXX,Don't forget a jacket.
crema-d_1003_disgust_IWWXX,crema-d_1003_disgust_IWWXX,It's eleven o'clock.
crema-d_1003_disgust_MTIXX,crema-d_1003_disgust_MTIXX,I think I've seen this before.
crema-d_1003_disgust_TAIXX,crema-d_1003_disgust_TAIXX,That is exactly what happened.
crema-d_1003_disgust_TIEXX,crema-d_1003_disgust_TIEXX,We'll stop in a couple of minutes.
crema-d_1003_disgust_TSIXX,crema-d_1003_disgust_TSIXX,It's eleven o'clock.
crema-d_1003_disgust_WSIXX,crema-d_1003_disgust_WSIXX,The airplane is almost full.
crema-d_1003_fear_DFAXX,crema-d_1003_fear_DFAXX,We'll stop in a couple of minutes.
crema-d_1003_fear_IEOHI,crema-d_1003_fear_IEOMD,I think I've seen this before.
crema-d_1003_fear_IEOLO,crema-d_1003_fear_IEOMD,The airplane is almost full.
crema-d_1003_fear_IEOMD,crema-d_1003_fear_IEOMD,That is exactly what happened.
crema-d_1003_fear_IOMXX,crema-d_1003_fear_IOMXX,We'll stop in a couple of minutes.
crema-d_1003_fear_ITHXX,crema-d_1003_fear_ITHXX,The airplane is almost full.
crema-d_1003_fear_ITSXX,crema-d_1003_fear_ITSXX,I wonder what this is about.
crema-d_1003_fear_IWLXX,crema-d_1003_fear_IWLXX,Maybe tomorrow it will be cold.
crema-d_1003_fear_IWWXX,crema-d_1003_fear_IWWXX,That is exactly what happened.
crema-d_1003_fear_MTIXX,crema-d_1003_fear_MTIXX,The surface is slick.
crema-d_1003_fear_TAIXX,crema-d_1003_fear_TAIXX,I'm on my way to the meeting.
crema-d_1003_fear_TIEXX,crema-d_1003_fear_TIEXX,It's eleven o'clock.
crema-d_1003_fear_TSIXX,crema-d_1003_fear_TSIXX,I wonder what this is about.
crema-d_1003_fear_WSIXX,crema-d_1003_fear_WSIXX,I wonder what this is about.
crema-d_1003_happiness_DFAXX,crema-d_1003_happiness_DFAXX,I would like a new alarm clock.
crema-d_1003_happiness_IEOHI,crema-d_1003_happiness_IEOMD,I would like a new alarm clock.
crema-d_1003_happiness_IEOLO,crema-d_1003_happiness_IEOMD,The surface is slick.
crema-d_1003_happiness_IEOMD,crema-d_1003_happiness_IEOMD,Don't forget a jacket.
crema-d_1003_happiness_IOMXX,crema-d_1003_happiness_IOMXX,I think I have a doctor's appointment.
crema-d_1003_happiness_ITHXX,crema-d_1003_happiness_ITHXX,Maybe tomorrow it will be cold.
crema-d_1003_happiness_ITSXX,crema-d_1003_happiness_ITSXX,I would like a new alarm clock.
crema-d_1003_happiness_IWLXX,crema-d_1003_happiness_IWLXX,I'm on my way to the meeting.
crema-d_1003_happiness_IWWXX,crema-d_1003_happiness_IWWXX,It's eleven o'clock.
crema-d_1003_happiness_MTIXX,crema-d_1003_happiness_MTIXX,Don't forget a jacket.
crema-d_1003_happiness_TAIXX,crema-d_1003_happiness_TAIXX,Don't forget a jacket.
crema-d_1003_happiness_TIEXX,crema-d_1003_happiness_TIEXX,I wonder what this is about.
crema-d_1003_happiness_TSIXX,crema-d_1003_happiness_TSIXX,Don't forget a jacket.
crema-d_1003_happiness_WSIXX,crema-d_1003_happiness_WSIXX,It's eleven o'clock.
crema-d_1003_neutral_DFAXX,crema-d_1003_neutral_DFAXX,I would like a new alarm clock.
crema-d_1003_neutral_IEOXX,crema-d_1003_neutral_IEOXX,I wonder what this is about.
crema-d_1003_neutral_IOMXX,crema-d_1003_neutral_IOMXX,We'll stop in a couple of minutes.
crema-d_1003_neutral_ITHXX,crema-d_1003_neutral_ITHXX,I think I've seen this before.
crema-d_1003_neutral_ITSXX,crema-d_1003_neutral_ITSXX,I'm on my way to the meeting.
crema-d_1003_neutral_IWLXX,crema-d_1003_neutral_IWLXX,We'll stop in a couple of minutes.
